,Unnamed: 0,building_class_category,sale_price,gross_sqft,year_of_sale,year_built,ZipCode,neighborhood,residential_units,SchoolDist,BldgClass,YearAlter1,YearAlter2,LotArea,ResArea,UnitsRes,NumFloors,SP/Sq_ft
5450,5451,01 ONE FAMILY HOMES,2950000.0,1692.0,2017,2014,11249.0,WILLIAMSBURG-SOUTH,1,14.0,A5,2013.0,0.0,1279.0,1692.0,1.0,3.0,1743.498817966903
5467,5468,01 ONE FAMILY HOMES,2930000.0,1476.0,2016,1920,11209.0,BAY RIDGE,1,20.0,A3,0.0,0.0,7000.0,1476.0,1.0,2.0,1985.0948509485095
5570,5571,01 ONE FAMILY HOMES,2900000.0,1152.0,2016,1920,11211.0,WILLIAMSBURG-EAST,1,14.0,A5,2006.0,0.0,2500.0,1152.0,1.0,3.0,2517.3611111111113
5778,5779,01 ONE FAMILY HOMES,2800187.0,2733.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1752.0,2733.0,1.0,3.0,1024.5836077570436
5936,5937,01 ONE FAMILY HOMES,2755000.0,2500.0,2017,1901,11215.0,SUNSET PARK,1,15.0,A5,2015.0,0.0,2504.0,2500.0,1.0,3.0,1102.0
5995,5996,01 ONE FAMILY HOMES,2750000.0,2400.0,2016,1925,11223.0,OCEAN PARKWAY-SOUTH,1,21.0,A1,0.0,0.0,3060.0,2400.0,1.0,2.0,1145.8333333333333
5997,5998,01 ONE FAMILY HOMES,2750000.0,1358.0,2016,1899,11211.0,WILLIAMSBURG-NORTH,1,14.0,A1,0.0,0.0,2500.0,1358.0,1.0,2.0,2025.0368188512518
6006,6007,01 ONE FAMILY HOMES,2750000.0,1616.0,2017,1925,11223.0,OCEAN PARKWAY-SOUTH,1,21.0,A1,0.0,0.0,2708.0,1616.0,1.0,2.0,1701.7326732673268
6066,6067,01 ONE FAMILY HOMES,2725000.0,2625.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1680.0,2625.0,1.0,3.0,1038.095238095238
6069,6070,01 ONE FAMILY HOMES,2723818.0,2196.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1576.0,2196.0,1.0,3.0,1240.3542805100183
6196,6197,01 ONE FAMILY HOMES,2700000.0,2400.0,2017,1910,11226.0,FLATBUSH-CENTRAL,1,22.0,A9,0.0,0.0,5000.0,2400.0,1.0,2.75,1125.0
6215,6216,01 ONE FAMILY HOMES,2699888.0,2250.0,2015,1900,11205.0,CLINTON HILL,1,13.0,A9,0.0,0.0,2000.0,2250.0,1.0,2.0,1199.9502222222222
6216,6217,01 ONE FAMILY HOMES,2699000.0,2144.0,2015,1901,11201.0,BOERUM HILL,1,15.0,A4,0.0,0.0,1325.0,1608.0,1.0,3.0,1258.8619402985075
6219,6220,01 ONE FAMILY HOMES,2698362.0,2625.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1683.0,2625.0,1.0,3.0,1027.9474285714286
6226,6227,01 ONE FAMILY HOMES,2695000.0,2520.0,2016,1901,11205.0,CLINTON HILL,1,13.0,A4,0.0,0.0,1190.0,1890.0,1.0,3.0,1069.4444444444443
6227,6228,01 ONE FAMILY HOMES,2695000.0,2939.0,2017,1920,11218.0,FLATBUSH-CENTRAL,1,17.0,A1,0.0,0.0,5865.0,2939.0,1.0,2.75,916.9785641374617
6239,6240,01 ONE FAMILY HOMES,2688000.0,2412.0,2016,1910,11231.0,GOWANUS,1,15.0,A4,2004.0,2004.0,2975.0,1529.0,1.0,2.0,1114.4278606965174
6269,6270,01 ONE FAMILY HOMES,2675000.0,2977.0,2017,1905,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A1,0.0,0.0,6580.0,2977.0,1.0,2.75,898.555592878737
6298,6299,01 ONE FAMILY HOMES,2660000.0,1638.0,2015,1925,11223.0,OCEAN PARKWAY-NORTH,1,21.0,A1,0.0,0.0,3600.0,1638.0,1.0,2.0,1623.931623931624
6381,6382,01 ONE FAMILY HOMES,2645000.0,2430.0,2015,1910,11238.0,PROSPECT HEIGHTS,1,13.0,A4,0.0,0.0,2358.0,1620.0,1.0,2.0,1088.477366255144
6384,6385,01 ONE FAMILY HOMES,2645000.0,874.0,2017,1920,11217.0,BOERUM HILL,1,15.0,A9,2009.0,0.0,859.0,874.0,1.0,2.0,3026.315789473684
6412,6413,01 ONE FAMILY HOMES,2625000.0,2263.0,2015,1960,11218.0,FLATBUSH-CENTRAL,1,22.0,A1,2013.0,0.0,4000.0,1150.0,1.0,2.0,1159.9646486964207
6416,6417,01 ONE FAMILY HOMES,2625000.0,2910.0,2016,1899,11215.0,PARK SLOPE,1,15.0,S1,0.0,0.0,2000.0,1500.0,1.0,2.0,902.0618556701031
6508,6509,01 ONE FAMILY HOMES,2600000.0,2200.0,2015,1930,11205.0,CLINTON HILL,1,13.0,A9,0.0,0.0,1980.0,2200.0,1.0,2.0,1181.8181818181818
6530,6531,01 ONE FAMILY HOMES,2600000.0,1728.0,2016,1915,11217.0,BOERUM HILL,1,15.0,A4,0.0,0.0,1515.0,1728.0,1.0,3.0,1504.6296296296296
6556,6557,01 ONE FAMILY HOMES,2600000.0,2191.0,2017,1925,11230.0,OCEAN PARKWAY-NORTH,1,21.0,A1,0.0,0.0,4000.0,2191.0,1.0,2.0,1186.6727521679597
6633,6634,01 ONE FAMILY HOMES,2570000.0,2541.0,2017,1910,11215.0,PARK SLOPE SOUTH,1,15.0,B2,0.0,0.0,1503.0,1120.0,2.0,2.0,1011.4128295946477
6640,6641,01 ONE FAMILY HOMES,2563000.0,2430.0,2015,1910,11238.0,PROSPECT HEIGHTS,1,13.0,A4,0.0,0.0,2358.0,1620.0,1.0,2.0,1054.732510288066
6647,6648,01 ONE FAMILY HOMES,2560898.0,2625.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1683.0,2625.0,1.0,3.0,975.5801904761905
6714,6715,01 ONE FAMILY HOMES,2550000.0,2220.0,2017,1901,11238.0,CLINTON HILL,1,13.0,A4,0.0,0.0,1250.0,1638.0,1.0,3.0,1148.6486486486488
6757,6758,01 ONE FAMILY HOMES,2540533.0,2625.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1683.0,2625.0,1.0,3.0,967.8220952380952
6768,6769,01 ONE FAMILY HOMES,2535000.0,1400.0,2017,1900,11231.0,GOWANUS,1,15.0,A9,1990.0,0.0,2000.0,1400.0,1.0,2.0,1810.7142857142858
6807,6808,01 ONE FAMILY HOMES,2521442.0,2733.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1752.0,2733.0,1.0,3.0,922.5912916209294
6834,6835,01 ONE FAMILY HOMES,2510000.0,1560.0,2017,1925,11219.0,BOROUGH PARK,1,20.0,A9,0.0,0.0,4000.0,1560.0,1.0,2.5,1608.974358974359
6931,6932,01 ONE FAMILY HOMES,2500000.0,2368.0,2015,1930,11218.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,5000.0,2368.0,1.0,2.75,1055.7432432432433
6974,6975,01 ONE FAMILY HOMES,2500000.0,1696.0,2016,1899,11201.0,COBBLE HILL,1,15.0,A5,2008.0,0.0,702.0,1272.0,1.0,3.0,1474.0566037735848
6980,6981,01 ONE FAMILY HOMES,2500000.0,2454.0,2016,1920,11226.0,FLATBUSH-CENTRAL,1,17.0,S1,0.0,0.0,1553.0,1644.0,1.0,3.0,1018.7449062754687
6990,6991,01 ONE FAMILY HOMES,2500000.0,1920.0,2016,1955,11230.0,OCEAN PARKWAY-NORTH,1,21.0,V0,0.0,0.0,4000.0,0.0,0.0,0.0,1302.0833333333333
7023,7024,01 ONE FAMILY HOMES,2500000.0,2568.0,2017,1930,11235.0,MANHATTAN BEACH,1,22.0,A1,0.0,0.0,4000.0,2568.0,1.0,2.0,973.5202492211838
7083,7084,01 ONE FAMILY HOMES,2494712.0,1995.0,2015,2014,11238.0,CLINTON HILL,1,13.0,A4,0.0,0.0,1000.0,1995.0,1.0,3.0,1250.4822055137845
7093,7094,01 ONE FAMILY HOMES,2490000.0,1784.0,2016,1931,11231.0,COBBLE HILL-WEST,1,15.0,A1,2006.0,2006.0,2101.0,1784.0,1.0,2.5,1395.7399103139014
7211,7212,01 ONE FAMILY HOMES,2450000.0,1862.0,2017,1920,11215.0,WINDSOR TERRACE,1,15.0,A5,2006.0,0.0,1700.0,1862.0,1.0,2.0,1315.7894736842106
7251,7252,01 ONE FAMILY HOMES,2433600.0,1692.0,2016,1920,11215.0,WINDSOR TERRACE,1,15.0,A5,0.0,0.0,1700.0,1692.0,1.0,2.0,1438.2978723404256
7265,7266,01 ONE FAMILY HOMES,2425000.0,1800.0,2016,1920,11211.0,WILLIAMSBURG-EAST,1,14.0,S1,0.0,0.0,2250.0,900.0,1.0,2.0,1347.2222222222222
7269,7270,01 ONE FAMILY HOMES,2425000.0,2210.0,2017,1901,11215.0,PARK SLOPE,1,15.0,A4,0.0,0.0,1667.0,1465.0,1.0,2.0,1097.2850678733032
7275,7276,01 ONE FAMILY HOMES,2423435.0,2625.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1683.0,2625.0,1.0,3.0,923.2133333333334
7307,7308,01 ONE FAMILY HOMES,2405000.0,1710.0,2017,1899,11217.0,CARROLL GARDENS,1,15.0,A4,0.0,0.0,1125.0,1710.0,1.0,3.0,1406.4327485380118
7438,7439,01 ONE FAMILY HOMES,2400000.0,1724.0,2017,1925,11230.0,OCEAN PARKWAY-NORTH,1,21.0,A1,0.0,0.0,3400.0,1724.0,1.0,2.5,1392.1113689095127
7447,7448,01 ONE FAMILY HOMES,2400000.0,2750.0,2017,1930,11211.0,WILLIAMSBURG-EAST,1,14.0,A9,2004.0,0.0,2500.0,2750.0,1.0,1.5,872.7272727272727
7448,7449,01 ONE FAMILY HOMES,2400000.0,1000.0,2017,1899,11249.0,WILLIAMSBURG-NORTH,1,14.0,A1,0.0,0.0,2500.0,1000.0,1.0,2.0,2400.0
7525,7526,01 ONE FAMILY HOMES,2380000.0,1553.0,2015,1901,11222.0,GREENPOINT,1,14.0,A9,2011.0,0.0,1667.0,1313.0,1.0,2.0,1532.5177076625885
7527,7528,01 ONE FAMILY HOMES,2380000.0,2328.0,2017,1920,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A4,0.0,0.0,1800.0,2328.0,1.0,3.0,1022.3367697594501
7629,7630,01 ONE FAMILY HOMES,2350000.0,1820.0,2015,1899,11217.0,BOERUM HILL,1,15.0,A5,0.0,0.0,864.0,1300.0,1.0,3.0,1291.2087912087911
7633,7634,01 ONE FAMILY HOMES,2350000.0,2900.0,2015,1899,11238.0,FORT GREENE,1,13.0,A9,0.0,0.0,2000.0,2900.0,1.0,4.0,810.3448275862069
7647,7648,01 ONE FAMILY HOMES,2350000.0,1690.0,2016,1970,11201.0,BROOKLYN HEIGHTS,1,13.0,A4,0.0,0.0,908.0,1690.0,1.0,3.0,1390.5325443786983
7651,7652,01 ONE FAMILY HOMES,2350000.0,2573.0,2016,1899,11226.0,FLATBUSH-CENTRAL,1,17.0,A1,0.0,0.0,5000.0,2573.0,1.0,2.5,913.3307423241353
7654,7655,01 ONE FAMILY HOMES,2350000.0,2200.0,2016,1920,11211.0,WILLIAMSBURG-EAST,1,14.0,S1,0.0,0.0,2000.0,1100.0,1.0,2.0,1068.1818181818182
7662,7663,01 ONE FAMILY HOMES,2350000.0,840.0,2017,1899,11222.0,GREENPOINT,1,14.0,A4,2016.0,0.0,1200.0,840.0,1.0,2.0,2797.6190476190477
7697,7698,01 ONE FAMILY HOMES,2340000.0,2808.0,2017,1899,11228.0,DYKER HEIGHTS,1,20.0,A1,1989.0,0.0,6000.0,2808.0,1.0,2.75,833.3333333333334
7787,7788,01 ONE FAMILY HOMES,2311427.0,2196.0,2017,2016,11231.0,RED HOOK,1,15.0,A5,0.0,0.0,1620.0,2196.0,1.0,3.0,1052.5623861566485
7876,7877,01 ONE FAMILY HOMES,2300000.0,2058.0,2015,1930,11209.0,BAY RIDGE,1,20.0,A1,0.0,0.0,3750.0,2058.0,1.0,2.5,1117.5898931000972
7884,7885,01 ONE FAMILY HOMES,2300000.0,1918.0,2015,1999,11205.0,CLINTON HILL,1,13.0,A9,2009.0,0.0,1981.0,1918.0,1.0,2.0,1199.1657977059438
7906,7907,01 ONE FAMILY HOMES,2300000.0,1528.0,2015,1915,11215.0,WINDSOR TERRACE,1,15.0,A5,0.0,0.0,1440.0,1528.0,1.0,2.0,1505.235602094241
7923,7924,01 ONE FAMILY HOMES,2300000.0,2580.0,2016,1925,11223.0,OCEAN PARKWAY-SOUTH,1,21.0,A1,0.0,0.0,3108.0,1730.0,1.0,2.0,891.4728682170543
7926,7927,01 ONE FAMILY HOMES,2300000.0,1358.0,2016,1899,11211.0,WILLIAMSBURG-NORTH,1,14.0,A1,0.0,0.0,2500.0,1358.0,1.0,2.0,1693.6671575846833
7928,7929,01 ONE FAMILY HOMES,2300000.0,2855.0,2017,1910,11209.0,BAY RIDGE,1,20.0,A3,0.0,0.0,6560.0,2855.0,1.0,2.5,805.6042031523642
7946,7947,01 ONE FAMILY HOMES,2300000.0,2806.0,2017,1920,11210.0,MIDWOOD,1,22.0,A1,0.0,0.0,6240.0,2806.0,1.0,2.5,819.672131147541
7954,7955,01 ONE FAMILY HOMES,2300000.0,1800.0,2017,1920,11215.0,SUNSET PARK,1,15.0,A5,2016.0,0.0,1500.0,1800.0,1.0,2.0,1277.7777777777778
7994,7995,01 ONE FAMILY HOMES,2295000.0,2503.0,2017,1899,11218.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,4000.0,2503.0,1.0,2.75,916.8997203355973
7995,7996,01 ONE FAMILY HOMES,2295000.0,2690.0,2017,1925,11230.0,OCEAN PARKWAY-NORTH,1,22.0,A1,0.0,0.0,5280.0,2690.0,1.0,2.5,853.1598513011153
8012,8013,01 ONE FAMILY HOMES,2287500.0,1696.0,2015,1899,11201.0,COBBLE HILL,1,15.0,A4,0.0,0.0,702.0,1272.0,1.0,3.0,1348.7617924528302
8050,8051,01 ONE FAMILY HOMES,2275000.0,2971.0,2015,1920,11230.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,5000.0,2971.0,1.0,2.5,765.7354426119152
8099,8100,01 ONE FAMILY HOMES,2262500.0,2247.0,2017,1899,11238.0,CROWN HEIGHTS,1,17.0,A4,0.0,0.0,2183.0,1498.0,1.0,2.0,1006.8980863373387
8162,8163,01 ONE FAMILY HOMES,2250000.0,2464.0,2015,1915,11217.0,BOERUM HILL,2,15.0,B1,0.0,0.0,1450.0,1792.0,2.0,3.0,913.1493506493506
8172,8173,01 ONE FAMILY HOMES,2250000.0,2700.0,2015,1925,11230.0,OCEAN PARKWAY-NORTH,1,21.0,A1,2008.0,0.0,3000.0,2700.0,1.0,2.5,833.3333333333334
8174,8175,01 ONE FAMILY HOMES,2250000.0,1560.0,2015,1901,11215.0,PARK SLOPE,1,15.0,A9,0.0,0.0,1267.0,1032.0,1.0,3.0,1442.3076923076924
8177,8178,01 ONE FAMILY HOMES,2250000.0,2000.0,2015,1931,11215.0,SUNSET PARK,1,15.0,S0,0.0,0.0,2500.0,1000.0,1.0,2.0,1125.0
8180,8181,01 ONE FAMILY HOMES,2250000.0,2954.0,2016,1910,11217.0,BOERUM HILL,1,15.0,A4,0.0,0.0,1470.0,2157.0,1.0,3.0,761.6790792146243
8182,8183,01 ONE FAMILY HOMES,2250000.0,1200.0,2016,1931,11231.0,CARROLL GARDENS,1,15.0,S1,0.0,0.0,690.0,700.0,1.0,1.0,1875.0
8211,8212,01 ONE FAMILY HOMES,2250000.0,1368.0,2017,1925,11223.0,OCEAN PARKWAY-SOUTH,1,21.0,A2,0.0,0.0,5000.0,912.0,1.0,1.0,1644.7368421052631
8236,8237,01 ONE FAMILY HOMES,2245000.0,1624.0,2017,1901,11230.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,7000.0,1624.0,1.0,2.5,1382.3891625615763
8237,8238,01 ONE FAMILY HOMES,2245000.0,1482.0,2017,1915,11215.0,WINDSOR TERRACE,1,15.0,A5,0.0,0.0,1700.0,1482.0,1.0,2.0,1514.8448043184885
8268,8269,01 ONE FAMILY HOMES,2235058.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,973.8814814814815
8269,8270,01 ONE FAMILY HOMES,2235058.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,973.8814814814815
8298,8299,01 ONE FAMILY HOMES,2225000.0,2787.0,2017,1955,11209.0,BAY RIDGE,1,20.0,A2,0.0,0.0,5000.0,2787.0,1.0,1.5,798.3494797273054
8313,8314,01 ONE FAMILY HOMES,2220000.0,1755.0,2016,1931,11215.0,PARK SLOPE SOUTH,1,15.0,A4,1958.0,0.0,929.0,1755.0,1.0,3.0,1264.957264957265
8327,8328,01 ONE FAMILY HOMES,2215029.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,965.1542483660131
8328,8329,01 ONE FAMILY HOMES,2215029.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,965.1542483660131
8331,8332,01 ONE FAMILY HOMES,2215000.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,0.0,965.1416122004357
8346,8347,01 ONE FAMILY HOMES,2206000.0,2183.0,2015,1899,11231.0,RED HOOK,1,15.0,C0,2009.0,0.0,1500.0,2183.0,3.0,3.0,1010.5359596885021
8349,8350,01 ONE FAMILY HOMES,2205000.0,2400.0,2015,1899,11221.0,BEDFORD STUYVESANT,1,16.0,V0,0.0,0.0,13033.0,0.0,0.0,0.0,918.75
8490,8491,01 ONE FAMILY HOMES,2200000.0,1696.0,2016,1930,11230.0,OCEAN PARKWAY-NORTH,1,21.0,A1,0.0,0.0,3856.0,1696.0,1.0,2.0,1297.1698113207547
8496,8497,01 ONE FAMILY HOMES,2200000.0,2160.0,2017,1910,11209.0,BAY RIDGE,1,20.0,A3,0.0,0.0,4266.0,2160.0,1.0,2.0,1018.5185185185185
8521,8522,01 ONE FAMILY HOMES,2200000.0,2434.0,2017,1950,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,S1,0.0,0.0,5333.0,1598.0,1.0,2.0,903.861955628595
8529,8530,01 ONE FAMILY HOMES,2200000.0,1458.0,2017,1901,11210.0,MIDWOOD,1,22.0,A1,1990.0,1997.0,4000.0,1458.0,1.0,2.75,1508.9163237311386
8531,8532,01 ONE FAMILY HOMES,2200000.0,1536.0,2017,1920,11223.0,OCEAN PARKWAY-SOUTH,1,21.0,A1,0.0,0.0,2940.0,1536.0,1.0,2.0,1432.2916666666667
8587,8588,01 ONE FAMILY HOMES,2195000.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1300.0,2295.0,1.0,0.0,956.4270152505446
8588,8589,01 ONE FAMILY HOMES,2195000.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,956.4270152505446
8621,8622,01 ONE FAMILY HOMES,2185000.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,952.0697167755991
8644,8645,01 ONE FAMILY HOMES,2175000.0,2390.0,2015,1935,11209.0,BAY RIDGE,1,20.0,A1,0.0,0.0,5100.0,2390.0,1.0,2.0,910.0418410041841
8649,8650,01 ONE FAMILY HOMES,2175000.0,2160.0,2016,1910,11209.0,BAY RIDGE,1,20.0,A3,0.0,0.0,4266.0,2160.0,1.0,2.0,1006.9444444444445
8658,8659,01 ONE FAMILY HOMES,2175000.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,947.7124183006536
8684,8685,01 ONE FAMILY HOMES,2165000.0,2040.0,2016,1910,11238.0,PROSPECT HEIGHTS,1,13.0,A4,0.0,0.0,2227.0,1360.0,1.0,2.0,1061.2745098039215
8757,8758,01 ONE FAMILY HOMES,2150000.0,2520.0,2015,1899,11238.0,CLINTON HILL,1,13.0,A9,2010.0,0.0,1400.0,1890.0,1.0,3.0,853.1746031746031
8776,8777,01 ONE FAMILY HOMES,2150000.0,1272.0,2016,1899,11201.0,COBBLE HILL,1,15.0,A4,0.0,0.0,702.0,1272.0,1.0,3.0,1690.251572327044
8778,8779,01 ONE FAMILY HOMES,2150000.0,2728.0,2016,1905,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A4,0.0,0.0,2050.0,1776.0,1.0,2.0,788.1231671554252
8784,8785,01 ONE FAMILY HOMES,2150000.0,2372.0,2017,1925,11209.0,BAY RIDGE,1,20.0,A1,0.0,0.0,3800.0,2372.0,1.0,2.0,906.4080944350759
8792,8793,01 ONE FAMILY HOMES,2150000.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,3.0,936.8191721132897
8914,8915,01 ONE FAMILY HOMES,2115000.0,2328.0,2017,1920,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A4,0.0,0.0,1800.0,2328.0,1.0,3.0,908.5051546391752
8918,8919,01 ONE FAMILY HOMES,2112868.0,2295.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1275.0,2295.0,1.0,0.0,920.639651416122
9033,9034,01 ONE FAMILY HOMES,2100000.0,2208.0,2015,1925,11209.0,BAY RIDGE,1,20.0,A1,0.0,0.0,5000.0,2208.0,1.0,2.5,951.0869565217391
9045,9046,01 ONE FAMILY HOMES,2100000.0,2916.0,2015,1901,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A5,0.0,0.0,2000.0,1896.0,1.0,2.0,720.164609053498
9047,9048,01 ONE FAMILY HOMES,2100000.0,2445.0,2015,1899,11222.0,GREENPOINT,1,14.0,A3,0.0,0.0,1275.0,1630.0,1.0,2.0,858.8957055214723
9049,9050,01 ONE FAMILY HOMES,2100000.0,2303.0,2015,1930,11230.0,OCEAN PARKWAY-NORTH,1,21.0,A1,0.0,0.0,4000.0,2303.0,1.0,2.75,911.854103343465
9088,9089,01 ONE FAMILY HOMES,2100000.0,2656.0,2016,1905,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A4,0.0,0.0,2050.0,1728.0,1.0,2.0,790.6626506024096
9089,9090,01 ONE FAMILY HOMES,2100000.0,2656.0,2016,1905,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A4,0.0,0.0,2050.0,1728.0,1.0,2.0,790.6626506024096
9096,9097,01 ONE FAMILY HOMES,2100000.0,1809.0,2016,1931,11215.0,PARK SLOPE SOUTH,1,15.0,A4,0.0,0.0,930.0,1809.0,1.0,3.0,1160.8623548922055
9104,9105,01 ONE FAMILY HOMES,2100000.0,1774.0,2017,1910,11209.0,BAY RIDGE,1,20.0,A3,0.0,0.0,4187.0,1774.0,1.0,2.0,1183.7655016910935
9108,9109,01 ONE FAMILY HOMES,2100000.0,1728.0,2017,1899,11217.0,BOERUM HILL,1,13.0,A4,0.0,0.0,1014.0,1152.0,1.0,2.0,1215.2777777777778
9122,9123,01 ONE FAMILY HOMES,2100000.0,2058.0,2017,1899,11218.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,6000.0,2058.0,1.0,2.75,1020.4081632653061
9123,9124,01 ONE FAMILY HOMES,2100000.0,2771.0,2017,1899,11218.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,4800.0,2771.0,1.0,2.5,757.849151930711
9124,9125,01 ONE FAMILY HOMES,2100000.0,2569.0,2017,1920,11230.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,5000.0,2569.0,1.0,2.5,817.4386920980926
9126,9127,01 ONE FAMILY HOMES,2100000.0,2776.0,2017,1905,11225.0,FLATBUSH-LEFFERTS GARDEN,1,17.0,A4,0.0,0.0,2050.0,1800.0,1.0,2.0,756.4841498559077
9135,9136,01 ONE FAMILY HOMES,2100000.0,2040.0,2017,1901,11215.0,PARK SLOPE,1,15.0,A5,2005.0,0.0,1280.0,1360.0,1.0,2.0,1029.4117647058824
9146,9147,01 ONE FAMILY HOMES,2100000.0,1408.0,2017,1930,11211.0,WILLIAMSBURG-EAST,1,14.0,S1,0.0,0.0,1250.0,704.0,1.0,2.0,1491.4772727272727
9152,9153,01 ONE FAMILY HOMES,2100000.0,1938.0,2017,1920,11215.0,WINDSOR TERRACE,1,15.0,A5,0.0,0.0,1800.0,1938.0,1.0,2.0,1083.59133126935
9185,9186,01 ONE FAMILY HOMES,2099000.0,1680.0,2016,1901,11231.0,CARROLL GARDENS,1,15.0,A5,0.0,0.0,1408.0,1120.0,1.0,2.0,1249.404761904762
9207,9208,01 ONE FAMILY HOMES,2090000.0,2998.0,2017,1899,11218.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,5500.0,2998.0,1.0,2.5,697.1314209472982
9234,9235,01 ONE FAMILY HOMES,2080000.0,2340.0,2017,2015,11205.0,NAVY YARD,1,13.0,A5,0.0,0.0,1300.0,2340.0,1.0,0.0,888.8888888888889
9263,9264,01 ONE FAMILY HOMES,2075000.0,2104.0,2016,1905,11226.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,4000.0,2104.0,1.0,2.5,986.2167300380228
9265,9266,01 ONE FAMILY HOMES,2075000.0,1440.0,2016,1920,11215.0,SUNSET PARK,1,15.0,A9,0.0,0.0,1024.0,1440.0,1.0,2.0,1440.9722222222222
9270,9271,01 ONE FAMILY HOMES,2075000.0,1926.0,2017,1910,11210.0,MIDWOOD,1,22.0,A1,0.0,0.0,3000.0,1926.0,1.0,2.5,1077.36240913811
9300,9301,01 ONE FAMILY HOMES,2062500.0,1200.0,2016,1920,11211.0,WILLIAMSBURG-EAST,1,14.0,S1,0.0,0.0,1875.0,600.0,1.0,2.0,1718.75
9314,9315,01 ONE FAMILY HOMES,2060000.0,1842.0,2015,1910,11230.0,FLATBUSH-CENTRAL,1,22.0,A1,0.0,0.0,4000.0,1842.0,1.0,2.75,1118.3496199782844
9320,9321,01 ONE FAMILY HOMES,2060000.0,1916.0,2017,1950,11210.0,MIDWOOD,1,22.0,A2,0.0,0.0,7000.0,1916.0,1.0,1.0,1075.1565762004175
9328,9329,01 ONE FAMILY HOMES,2056000.0,2565.0,2017,1915,11228.0,DYKER HEIGHTS,1,20.0,A1,0.0,0.0,5000.0,2565.0,1.0,2.5,801.5594541910332
